Year,Month,Product ID,Category,Region,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing
2022.0,1.0,P0005,Toys,West,156.0,25.0,150.9,83.29,20.0,Rainy,0.0,80.64
2022.0,1.0,P0006,Furniture,North,250.0,168.0,242.57,85.59,20.0,Cloudy,0.0,86.82
2022.0,1.0,P0007,Groceries,West,393.0,70.0,401.48,91.13,5.0,Sunny,0.0,93.33
2022.0,1.0,P0008,Electronics,West,29.0,99.0,35.54,66.96,20.0,Snowy,0.0,65.36
2022.0,1.0,P0009,Clothing,South,9.0,84.0,14.78,81.29,5.0,Rainy,1.0,82.06
2022.0,1.0,P0010,Electronics,North,126.0,181.0,132.75,60.84,0.0,Snowy,1.0,65.22
2022.0,1.0,P0011,Groceries,West,13.0,33.0,7.44,34.62,0.0,Snowy,1.0,33.98
2022.0,1.0,P0012,Groceries,East,25.0,136.0,37.27,19.56,5.0,Rainy,1.0,19.01
2022.0,1.0,P0013,Clothing,East,283.0,177.0,299.7,57.78,20.0,Cloudy,0.0,58.5
2022.0,1.0,P0014,Electronics,East,359.0,77.0,370.36,91.28,20.0,Cloudy,0.0,90.85
2022.0,1.0,P0015,Toys,South,129.0,94.0,148.55,59.9,15.0,Sunny,1.0,55.23
2022.0,1.0,P0016,Toys,South,63.0,85.0,58.07,45.65,20.0,Rainy,1.0,42.17
2022.0,1.0,P0017,Groceries,West,373.0,92.0,390.89,11.71,20.0,Cloudy,1.0,10.0
2022.0,1.0,P0018,Groceries,North,160.0,140.0,177.41,58.84,5.0,Cloudy,0.0,54.39
2022.0,1.0,P0019,Toys,East,15.0,186.0,34.38,84.99,5.0,Sunny,1.0,81.02
2022.0,1.0,P0020,Toys,West,101.0,38.0,115.0,87.1,0.0,Rainy,1.0,91.56
2022.0,1.0,P0001,Toys,South,147.0,180.0,161.09,67.21,5.0,Sunny,1.0,67.39
2022.0,1.0,P0002,Electronics,West,4.0,169.0,11.11,28.2,10.0,Sunny,1.0,25.63
2022.0,1.0,P0003,Groceries,South,77.0,145.0,75.04,56.16,10.0,Sunny,1.0,57.16
2022.0,1.0,P0004,Toys,South,31.0,145.0,42.99,89.53,20.0,Rainy,1.0,93.6
2022.0,1.0,P0005,Clothing,West,325.0,20.0,330.92,97.95,20.0,Sunny,0.0,93.54
2022.0,1.0,P0006,Groceries,North,163.0,22.0,159.17,76.37,5.0,Rainy,1.0,71.38
2022.0,1.0,P0007,Electronics,North,34.0,107.0,26.91,86.99,15.0,Rainy,1.0,90.5
2022.0,1.0,P0008,Toys,North,47.0,107.0,45.48,66.53,15.0,Cloudy,1.0,70.46
2022.0,1.0,P0009,Groceries,South,15.0,184.0,30.05,74.86,15.0,Snowy,1.0,73.93
2022.0,1.0,P0010,Groceries,South,126.0,124.0,141.34,97.09,5.0,Rainy,1.0,95.8
2022.0,1.0,P0011,Toys,East,232.0,155.0,242.02,56.19,0.0,Snowy,1.0,57.85
2022.0,1.0,P0012,Electronics,North,175.0,55.0,176.75,90.38,20.0,Cloudy,0.0,89.52
2022.0,1.0,P0013,Furniture,North,17.0,172.0,12.86,73.98,20.0,Cloudy,1.0,76.65
2022.0,1.0,P0014,Electronics,South,369.0,26.0,387.88,79.03,5.0,Rainy,0.0,82.51
2022.0,1.0,P0015,Clothing,West,260.0,24.0,266.36,27.72,5.0,Snowy,0.0,23.28
2022.0,1.0,P0016,Groceries,South,347.0,93.0,349.36,98.18,15.0,Rainy,0.0,99.58
2022.0,1.0,P0017,Clothing,East,150.0,168.0,157.82,27.1,5.0,Cloudy,1.0,27.4
2022.0,1.0,P0018,Toys,West,70.0,170.0,83.01,97.08,15.0,Snowy,1.0,94.88
2022.0,1.0,P0019,Clothing,East,249.0,37.0,268.25,26.71,15.0,Cloudy,1.0,24.81
2022.0,1.0,P0020,Electronics,North,370.0,99.0,387.57,95.85,20.0,Cloudy,1.0,95.7
2022.0,1.0,P0001,Toys,South,271.0,66.0,286.65,15.62,15.0,Sunny,0.0,16.09
2022.0,1.0,P0002,Clothing,North,180.0,183.0,176.06,41.13,5.0,Sunny,0.0,45.05
2022.0,1.0,P0003,Clothing,West,344.0,27.0,352.93,89.32,20.0,Cloudy,0.0,93.0
2022.0,1.0,P0004,Groceries,West,0.0,160.0,-2.4,87.23,10.0,Sunny,0.0,90.36
2022.0,1.0,P0005,Groceries,North,200.0,172.0,196.57,81.72,0.0,Snowy,1.0,85.22
2022.0,1.0,P0006,Electronics,East,382.0,195.0,396.4,41.35,10.0,Snowy,0.0,39.86
2022.0,1.0,P0007,Electronics,West,190.0,139.0,197.45,67.26,20.0,Cloudy,0.0,64.78
2022.0,1.0,P0008,Furniture,South,51.0,137.0,54.98,85.88,20.0,Snowy,1.0,86.14
2022.0,1.0,P0009,Furniture,North,40.0,73.0,51.78,59.23,10.0,Rainy,1.0,61.1
2022.0,1.0,P0010,Groceries,East,104.0,96.0,115.03,33.48,15.0,Cloudy,0.0,37.15
2022.0,1.0,P0011,Electronics,West,46.0,27.0,46.65,54.84,0.0,Sunny,1.0,57.76
2022.0,1.0,P0012,Electronics,North,9.0,165.0,0.95,14.25,5.0,Rainy,1.0,18.56
2022.0,1.0,P0013,Furniture,East,56.0,65.0,54.47,61.81,0.0,Sunny,0.0,63.92
2022.0,1.0,P0014,Electronics,West,63.0,139.0,69.73,66.94,10.0,Snowy,1.0,68.47
2022.0,1.0,P0015,Clothing,South,181.0,127.0,171.96,60.54,5.0,Cloudy,0.0,65.27
2022.0,1.0,P0016,Groceries,South,94.0,24.0,98.05,94.26,15.0,Rainy,0.0,96.74
2022.0,1.0,P0017,Electronics,South,46.0,75.0,55.12,25.55,0.0,Rainy,0.0,28.07
2022.0,1.0,P0018,Groceries,West,8.0,27.0,27.3,16.73,5.0,Cloudy,1.0,18.79
2022.0,1.0,P0019,Groceries,West,172.0,125.0,181.25,71.2,15.0,Rainy,1.0,73.85
2022.0,1.0,P0020,Clothing,West,68.0,37.0,86.27,11.5,20.0,Snowy,0.0,9.26
2022.0,1.0,P0001,Toys,West,77.0,60.0,83.47,70.33,10.0,Cloudy,0.0,70.29
2022.0,1.0,P0002,Clothing,West,298.0,107.0,292.96,57.15,5.0,Snowy,1.0,60.71
2022.0,1.0,P0003,Electronics,North,64.0,26.0,76.02,36.17,5.0,Sunny,0.0,40.93
2022.0,1.0,P0004,Furniture,West,300.0,174.0,292.04,50.77,15.0,Snowy,1.0,54.7
2022.0,1.0,P0005,Clothing,West,21.0,47.0,38.63,92.86,15.0,Rainy,1.0,96.3
2022.0,1.0,P0006,Groceries,North,176.0,163.0,174.06,60.76,20.0,Cloudy,0.0,61.15
2022.0,1.0,P0007,Clothing,South,131.0,140.0,122.6,46.47,15.0,Snowy,0.0,50.84
2022.0,1.0,P0008,Toys,West,317.0,197.0,328.64,34.08,5.0,Snowy,1.0,30.44
2022.0,1.0,P0009,Groceries,West,97.0,27.0,92.62,87.81,5.0,Snowy,0.0,85.45
2022.0,1.0,P0010,Clothing,East,8.0,141.0,14.38,37.04,10.0,Rainy,1.0,36.87
2022.0,1.0,P0011,Groceries,West,104.0,128.0,94.65,54.12,10.0,Rainy,1.0,53.03
2022.0,1.0,P0012,Electronics,West,87.0,188.0,90.59,67.64,15.0,Sunny,0.0,63.53
2022.0,1.0,P0013,Furniture,South,238.0,95.0,256.57,82.18,5.0,Cloudy,0.0,87.09
2022.0,1.0,P0014,Electronics,South,171.0,43.0,188.55,42.62,20.0,Cloudy,1.0,42.01
2022.0,1.0,P0015,Furniture,West,250.0,119.0,260.79,11.54,10.0,Cloudy,0.0,11.27
2022.0,1.0,P0016,Clothing,South,11.0,32.0,1.85,16.3,5.0,Sunny,0.0,17.98
2022.0,1.0,P0017,Electronics,East,371.0,98.0,390.04,98.31,15.0,Sunny,1.0,102.42
2022.0,1.0,P0018,Furniture,West,107.0,66.0,103.97,48.96,10.0,Snowy,1.0,50.03
2022.0,1.0,P0019,Groceries,South,106.0,124.0,119.33,88.22,5.0,Rainy,0.0,91.16
2022.0,1.0,P0020,Electronics,South,101.0,52.0,105.92,11.04,10.0,Snowy,1.0,9.14
2022.0,1.0,P0001,Groceries,West,81.0,104.0,92.94,27.95,10.0,Cloudy,0.0,30.89
2022.0,1.0,P0002,Clothing,West,163.0,79.0,171.6,19.78,15.0,Cloudy,0.0,18.76
2022.0,1.0,P0003,Clothing,South,464.0,163.0,463.12,70.99,10.0,Snowy,0.0,72.93
2022.0,1.0,P0004,Groceries,East,116.0,107.0,133.92,49.56,5.0,Snowy,0.0,50.46
2022.0,1.0,P0005,Electronics,East,200.0,40.0,204.3,23.76,15.0,Sunny,1.0,19.19
2022.0,1.0,P0006,Furniture,East,58.0,32.0,51.57,47.56,0.0,Snowy,1.0,46.82
2022.0,1.0,P0007,Electronics,North,56.0,149.0,60.3,17.1,5.0,Snowy,1.0,17.0
2022.0,1.0,P0008,Clothing,East,74.0,121.0,67.04,58.89,5.0,Cloudy,0.0,61.56
2022.0,1.0,P0009,Toys,South,54.0,182.0,70.6,99.76,20.0,Cloudy,0.0,95.61
2022.0,1.0,P0010,Clothing,North,39.0,163.0,47.8,11.44,5.0,Sunny,0.0,12.71
2022.0,1.0,P0011,Furniture,East,12.0,173.0,16.92,53.84,0.0,Cloudy,1.0,53.79
2022.0,1.0,P0012,Furniture,East,56.0,187.0,70.71,57.84,5.0,Snowy,1.0,60.99
2022.0,1.0,P0013,Toys,North,31.0,124.0,44.46,35.51,15.0,Cloudy,1.0,31.06
2022.0,1.0,P0014,Electronics,West,25.0,20.0,23.36,31.41,0.0,Cloudy,1.0,28.6
2022.0,1.0,P0015,Electronics,East,198.0,67.0,203.23,28.06,20.0,Cloudy,1.0,30.29
2022.0,1.0,P0016,Electronics,West,77.0,147.0,67.55,35.67,15.0,Snowy,0.0,38.02
2022.0,1.0,P0017,Furniture,West,165.0,105.0,181.86,28.18,5.0,Cloudy,0.0,27.5
2022.0,1.0,P0018,Toys,North,42.0,168.0,55.16,74.42,5.0,Snowy,0.0,69.67
2022.0,1.0,P0019,Furniture,South,8.0,67.0,24.41,91.95,5.0,Cloudy,1.0,87.43
2022.0,1.0,P0020,Electronics,North,174.0,168.0,187.49,97.88,0.0,Snowy,0.0,99.5
2022.0,1.0,P0001,Electronics,West,343.0,141.0,339.04,66.57,20.0,Rainy,1.0,63.92
2022.0,1.0,P0002,Furniture,West,71.0,60.0,82.44,90.36,5.0,Rainy,0.0,86.73
2022.0,1.0,P0003,Groceries,West,157.0,31.0,153.42,92.24,5.0,Snowy,1.0,89.57
2022.0,1.0,P0004,Groceries,South,88.0,109.0,100.61,68.71,0.0,Snowy,0.0,69.34
2022.0,1.0,P0005,Groceries,North,64.0,128.0,57.53,87.22,5.0,Cloudy,1.0,90.59
2022.0,1.0,P0006,Groceries,East,273.0,154.0,273.1,79.38,0.0,Rainy,0.0,77.28
2022.0,1.0,P0007,Groceries,North,247.0,148.0,264.18,17.41,15.0,Snowy,0.0,13.57
2022.0,1.0,P0008,Electronics,North,42.0,187.0,46.32,14.8,15.0,Sunny,1.0,13.94
2022.0,1.0,P0009,Electronics,North,197.0,157.0,195.61,30.5,0.0,Sunny,0.0,28.86
2022.0,1.0,P0010,Groceries,West,374.0,65.0,387.41,27.84,15.0,Cloudy,1.0,32.0
2022.0,1.0,P0011,Furniture,East,154.0,22.0,169.13,88.62,0.0,Cloudy,0.0,86.3
2022.0,1.0,P0012,Toys,North,236.0,30.0,239.09,82.35,20.0,Rainy,0.0,83.13
2022.0,1.0,P0013,Toys,North,278.0,92.0,279.91,92.57,10.0,Sunny,1.0,97.09
2022.0,1.0,P0014,Furniture,West,27.0,134.0,31.53,94.38,5.0,Rainy,0.0,89.47
2022.0,1.0,P0015,Toys,North,106.0,191.0,110.49,70.59,0.0,Cloudy,1.0,75.27
2022.0,1.0,P0016,Toys,West,154.0,70.0,166.83,63.13,10.0,Sunny,0.0,67.23
2022.0,1.0,P0017,Clothing,West,176.0,38.0,174.49,46.04,5.0,Rainy,1.0,41.4
2022.0,1.0,P0018,Groceries,East,124.0,46.0,116.05,21.07,10.0,Sunny,0.0,21.71
2022.0,1.0,P0019,Toys,East,479.0,132.0,469.74,79.11,0.0,Cloudy,0.0,80.06
2022.0,1.0,P0020,Clothing,South,78.0,42.0,76.55,64.99,0.0,Sunny,1.0,65.4
2022.0,1.0,P0001,Toys,West,114.0,40.0,132.41,73.48,10.0,Cloudy,0.0,72.55
2022.0,1.0,P0002,Groceries,East,2.0,140.0,-3.4,87.5,0.0,Rainy,0.0,91.2
2022.0,1.0,P0003,Toys,East,7.0,187.0,22.8,88.68,20.0,Cloudy,1.0,87.38
2022.0,1.0,P0004,Furniture,West,54.0,154.0,49.64,82.36,20.0,Snowy,0.0,85.85
2022.0,1.0,P0005,Furniture,East,282.0,61.0,297.42,38.56,5.0,Cloudy,0.0,36.57
2022.0,1.0,P0006,Groceries,East,93.0,33.0,106.58,97.74,0.0,Cloudy,0.0,97.69
2022.0,1.0,P0007,Electronics,West,85.0,40.0,85.31,37.68,15.0,Cloudy,0.0,36.72
2022.0,1.0,P0008,Clothing,South,136.0,50.0,130.52,36.03,5.0,Rainy,0.0,37.49
2022.0,1.0,P0009,Electronics,West,140.0,196.0,139.46,88.97,0.0,Snowy,1.0,91.53
2022.0,1.0,P0010,Furniture,West,79.0,155.0,94.23,16.48,10.0,Cloudy,1.0,21.42
2022.0,1.0,P0011,Furniture,South,106.0,111.0,117.65,58.37,10.0,Cloudy,1.0,58.1
2022.0,1.0,P0012,Groceries,West,1.0,142.0,1.99,27.86,5.0,Snowy,1.0,31.78
2022.0,1.0,P0013,Electronics,West,203.0,53.0,206.35,39.14,5.0,Rainy,1.0,35.3
2022.0,1.0,P0014,Toys,North,368.0,71.0,384.47,66.51,0.0,Cloudy,0.0,70.84
2022.0,1.0,P0015,Electronics,East,286.0,159.0,283.25,89.65,20.0,Snowy,0.0,84.99
2022.0,1.0,P0016,Clothing,South,69.0,173.0,70.77,86.7,20.0,Rainy,0.0,91.05
2022.0,1.0,P0017,Toys,South,52.0,78.0,65.67,29.69,20.0,Snowy,0.0,25.27
2022.0,1.0,P0018,Toys,East,109.0,83.0,126.67,86.93,10.0,Rainy,1.0,82.59
2022.0,1.0,P0019,Furniture,North,50.0,135.0,44.37,59.33,10.0,Cloudy,0.0,54.98
2022.0,1.0,P0020,Electronics,East,0.0,92.0,9.42,57.07,10.0,Rainy,1.0,53.34
2022.0,1.0,P0001,Electronics,North,22.0,45.0,39.12,74.16,15.0,Rainy,0.0,69.74
2022.0,1.0,P0002,Electronics,East,45.0,156.0,46.65,59.38,0.0,Sunny,1.0,62.4
2022.0,1.0,P0003,Clothing,East,89.0,122.0,87.77,48.18,0.0,Sunny,1.0,49.64
2022.0,1.0,P0004,Groceries,East,209.0,128.0,224.66,94.75,20.0,Snowy,0.0,90.1
2022.0,1.0,P0005,Toys,West,4.0,76.0,14.91,60.89,5.0,Sunny,0.0,59.42
2022.0,1.0,P0006,Toys,East,47.0,138.0,52.02,14.71,5.0,Cloudy,0.0,16.85
2022.0,1.0,P0007,Furniture,West,115.0,95.0,124.22,33.09,10.0,Rainy,0.0,28.55
2022.0,1.0,P0008,Toys,South,27.0,119.0,21.73,98.75,15.0,Snowy,0.0,102.7
2022.0,1.0,P0009,Furniture,South,90.0,28.0,103.6,12.4,20.0,Snowy,0.0,8.56
2022.0,1.0,P0010,Groceries,South,206.0,67.0,214.99,92.01,15.0,Snowy,1.0,87.81
2022.0,1.0,P0011,Toys,East,328.0,144.0,339.54,92.12,20.0,Sunny,1.0,87.37
2022.0,1.0,P0012,Groceries,South,155.0,24.0,145.99,37.39,20.0,Sunny,0.0,38.71
2022.0,1.0,P0013,Clothing,West,184.0,161.0,191.55,85.35,10.0,Rainy,1.0,80.79
2022.0,1.0,P0014,Electronics,East,16.0,166.0,28.75,82.64,0.0,Cloudy,0.0,78.35
2022.0,1.0,P0015,Toys,North,90.0,79.0,98.56,92.19,10.0,Snowy,1.0,97.07
2022.0,1.0,P0016,Clothing,West,178.0,111.0,180.76,61.41,0.0,Sunny,0.0,61.32
2022.0,1.0,P0017,Electronics,South,256.0,150.0,254.89,96.47,20.0,Cloudy,0.0,93.35
2022.0,1.0,P0018,Furniture,South,27.0,62.0,25.51,89.33,0.0,Sunny,0.0,89.63
2022.0,1.0,P0019,Groceries,North,67.0,83.0,79.41,59.49,20.0,Rainy,1.0,57.55
2022.0,1.0,P0020,Electronics,North,84.0,112.0,77.15,73.05,15.0,Sunny,1.0,74.55
2022.0,1.0,P0001,Groceries,East,67.0,53.0,74.8,67.49,5.0,Sunny,0.0,65.24
2022.0,1.0,P0002,Furniture,West,15.0,114.0,28.97,66.05,10.0,Sunny,1.0,65.16
2022.0,1.0,P0003,Toys,West,333.0,35.0,336.02,80.88,20.0,Rainy,1.0,84.97
2022.0,1.0,P0004,Groceries,North,56.0,38.0,54.08,60.5,10.0,Cloudy,1.0,64.88
2022.0,1.0,P0005,Furniture,West,165.0,194.0,172.41,71.72,20.0,Rainy,0.0,75.17
2022.0,1.0,P0006,Clothing,North,54.0,175.0,49.32,69.21,15.0,Rainy,1.0,71.17
2022.0,1.0,P0007,Clothing,East,93.0,148.0,84.69,70.69,20.0,Snowy,0.0,71.37
2022.0,1.0,P0008,Furniture,East,250.0,57.0,254.75,63.54,15.0,Cloudy,0.0,61.05
2022.0,1.0,P0009,Electronics,West,90.0,76.0,99.63,78.08,10.0,Sunny,0.0,73.69
2022.0,1.0,P0010,Furniture,West,83.0,77.0,84.32,43.09,10.0,Sunny,1.0,47.02
2022.0,1.0,P0011,Electronics,East,16.0,149.0,23.98,25.67,5.0,Sunny,1.0,27.78
2022.0,1.0,P0012,Toys,West,87.0,121.0,83.13,38.59,20.0,Rainy,0.0,33.87
2022.0,1.0,P0013,Furniture,East,241.0,136.0,235.03,57.99,5.0,Sunny,0.0,55.4
2022.0,1.0,P0014,Toys,South,286.0,116.0,282.52,14.65,20.0,Snowy,1.0,13.12
2022.0,1.0,P0015,Clothing,West,60.0,83.0,52.77,63.26,0.0,Rainy,1.0,61.02
2022.0,1.0,P0016,Groceries,East,437.0,106.0,432.86,43.64,15.0,Cloudy,1.0,39.13
2022.0,1.0,P0017,Toys,North,377.0,76.0,383.26,84.85,20.0,Sunny,1.0,84.29
2022.0,1.0,P0018,Clothing,West,83.0,113.0,78.67,47.05,15.0,Rainy,1.0,47.89
2022.0,1.0,P0019,Clothing,West,203.0,152.0,220.23,76.83,20.0,Snowy,0.0,75.86
2022.0,1.0,P0020,Clothing,South,183.0,189.0,190.11,93.95,10.0,Sunny,1.0,98.89
2022.0,1.0,P0001,Electronics,West,5.0,189.0,5.36,62.7,20.0,Rainy,0.0,58.22
2022.0,1.0,P0002,Clothing,East,199.0,70.0,193.26,54.02,0.0,Cloudy,0.0,52.91
2022.0,1.0,P0003,Toys,South,176.0,124.0,168.28,26.03,10.0,Rainy,0.0,29.38
2022.0,1.0,P0004,Electronics,East,214.0,51.0,228.51,10.19,0.0,Cloudy,1.0,7.82
2022.0,1.0,P0005,Groceries,West,165.0,56.0,170.76,95.54,0.0,Sunny,0.0,91.29
2022.0,1.0,P0006,Furniture,South,9.0,40.0,13.6,57.65,5.0,Sunny,0.0,58.01
2022.0,1.0,P0007,Clothing,South,140.0,70.0,143.7,87.85,20.0,Sunny,0.0,91.9
2022.0,1.0,P0008,Groceries,West,177.0,150.0,178.0,53.94,5.0,Snowy,0.0,51.47
2022.0,1.0,P0009,Groceries,South,217.0,55.0,217.69,61.42,20.0,Sunny,0.0,65.86
2022.0,1.0,P0010,Electronics,West,47.0,155.0,38.08,99.14,10.0,Snowy,0.0,102.66
2022.0,1.0,P0011,Groceries,East,3.0,98.0,5.18,60.52,0.0,Cloudy,0.0,62.72
2022.0,1.0,P0012,Clothing,East,2.0,62.0,9.81,86.93,15.0,Cloudy,0.0,83.11
2022.0,1.0,P0013,Clothing,South,18.0,120.0,20.5,83.11,10.0,Snowy,1.0,85.16
2022.0,1.0,P0014,Toys,South,242.0,145.0,255.54,32.28,10.0,Rainy,1.0,30.1
2022.0,1.0,P0015,Toys,North,228.0,157.0,246.91,52.17,10.0,Sunny,1.0,52.43
2022.0,1.0,P0016,Clothing,East,31.0,160.0,35.11,93.61,15.0,Snowy,1.0,94.15
2022.0,1.0,P0017,Clothing,North,16.0,197.0,33.51,98.25,5.0,Sunny,0.0,100.34
2022.0,1.0,P0018,Furniture,East,20.0,147.0,37.26,78.53,5.0,Rainy,0.0,75.48
2022.0,1.0,P0019,Furniture,South,193.0,171.0,203.45,56.91,0.0,Sunny,1.0,54.2
2022.0,1.0,P0020,Toys,North,118.0,162.0,110.02,35.32,20.0,Cloudy,1.0,37.56
2022.0,1.0,P0001,Toys,North,96.0,171.0,100.82,48.08,0.0,Rainy,1.0,49.4
2022.0,1.0,P0002,Electronics,North,48.0,47.0,55.45,46.95,15.0,Snowy,1.0,43.48
2022.0,1.0,P0003,Furniture,West,130.0,166.0,127.03,94.45,20.0,Cloudy,1.0,99.26
2022.0,1.0,P0004,Groceries,North,11.0,48.0,8.25,27.28,10.0,Snowy,1.0,28.61
2022.0,1.0,P0005,Groceries,West,313.0,194.0,326.56,29.74,0.0,Snowy,1.0,31.67
2022.0,1.0,P0006,Furniture,North,352.0,199.0,365.82,27.64,5.0,Snowy,0.0,27.19
2022.0,1.0,P0007,Toys,South,265.0,108.0,277.23,60.54,5.0,Rainy,0.0,55.83
2022.0,1.0,P0008,Furniture,South,11.0,137.0,23.62,58.55,10.0,Cloudy,0.0,63.45
2022.0,1.0,P0009,Groceries,South,191.0,29.0,207.27,58.59,0.0,Cloudy,0.0,60.98
2022.0,1.0,P0010,Electronics,West,185.0,150.0,192.21,95.48,0.0,Rainy,1.0,91.76
2022.0,1.0,P0011,Clothing,North,143.0,66.0,154.26,37.81,20.0,Snowy,1.0,37.14
2022.0,1.0,P0012,Electronics,West,85.0,84.0,104.48,48.7,10.0,Rainy,0.0,51.33
2022.0,1.0,P0013,Groceries,West,270.0,164.0,268.73,65.89,10.0,Cloudy,0.0,64.52
2022.0,1.0,P0014,Groceries,West,233.0,143.0,245.02,20.37,0.0,Rainy,1.0,23.3
2022.0,1.0,P0015,Furniture,West,187.0,57.0,177.8,46.25,0.0,Snowy,0.0,49.2
2022.0,1.0,P0016,Electronics,South,39.0,147.0,37.83,71.74,10.0,Rainy,0.0,76.17
2022.0,1.0,P0017,Toys,West,234.0,195.0,231.16,20.57,10.0,Rainy,1.0,22.24
2022.0,1.0,P0018,Clothing,South,213.0,106.0,208.31,29.88,20.0,Rainy,1.0,25.73
2022.0,1.0,P0019,Clothing,North,55.0,163.0,71.88,73.98,15.0,Rainy,1.0,73.5
2022.0,1.0,P0020,Groceries,South,22.0,178.0,15.3,45.02,10.0,Sunny,0.0,47.01
2022.0,1.0,P0001,Clothing,North,100.0,185.0,100.66,82.88,10.0,Sunny,1.0,86.74
2022.0,1.0,P0002,Groceries,North,353.0,74.0,355.08,17.36,0.0,Cloudy,1.0,17.32
2022.0,1.0,P0003,Electronics,West,255.0,118.0,246.78,42.7,20.0,Snowy,0.0,40.38
2022.0,1.0,P0004,Clothing,South,154.0,189.0,166.81,89.67,15.0,Sunny,0.0,88.99
2022.0,1.0,P0005,Clothing,East,147.0,29.0,154.97,65.77,0.0,Cloudy,1.0,61.06
2022.0,1.0,P0006,Electronics,North,342.0,112.0,357.52,95.74,10.0,Cloudy,0.0,94.29
2022.0,1.0,P0007,Furniture,West,54.0,126.0,48.62,98.9,0.0,Cloudy,0.0,97.62
2022.0,1.0,P0008,Toys,East,289.0,112.0,292.21,41.11,15.0,Cloudy,0.0,36.9
2022.0,1.0,P0009,Toys,South,179.0,135.0,198.59,42.07,0.0,Snowy,1.0,37.66
2022.0,1.0,P0010,Furniture,South,175.0,75.0,177.8,95.89,0.0,Rainy,1.0,96.19
2022.0,1.0,P0011,Clothing,West,209.0,86.0,220.54,84.12,5.0,Sunny,0.0,89.06
2022.0,1.0,P0012,Toys,East,109.0,46.0,113.33,71.21,20.0,Rainy,1.0,74.71
2022.0,1.0,P0013,Groceries,South,43.0,78.0,49.77,49.23,0.0,Rainy,1.0,47.75
2022.0,1.0,P0014,Toys,South,58.0,38.0,49.31,21.87,10.0,Rainy,1.0,25.0
2022.0,1.0,P0015,Electronics,South,399.0,86.0,390.1,60.83,0.0,Cloudy,1.0,60.34
2022.0,1.0,P0016,Clothing,West,95.0,145.0,111.3,56.78,20.0,Rainy,0.0,60.75
2022.0,1.0,P0017,Clothing,West,296.0,138.0,297.58,76.12,5.0,Snowy,0.0,77.55
2022.0,1.0,P0018,Electronics,East,105.0,66.0,104.66,98.9,10.0,Sunny,0.0,96.55
2022.0,1.0,P0019,Clothing,East,103.0,47.0,107.67,46.24,5.0,Cloudy,0.0,47.84
2022.0,1.0,P0020,Toys,South,131.0,103.0,123.65,16.35,15.0,Cloudy,0.0,19.59
2022.0,1.0,P0001,Groceries,East,66.0,140.0,56.84,83.63,15.0,Sunny,0.0,79.9
